,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,abs_contrast,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
93,504.978199,505.597399,504.959199,0.2,,0.0,1.0,-1.0,505.2989291940332,0.0,0.0,0.75,1,1.0,1.0,1,0.6381999999999834,0.6381999999999834,0.0,-0.19504320014251963,12.849705913995054,7.406614359219869,0.8279159443005403,0.8080037740334142,0.19199622596397567,9.043299923642092e-154,1,0
94,510.5777989999999,520.4921989999999,510.5727989999999,0.2,,0.0,1.0,-1.0,520.2839291940331,0.0,1.0,0.75,0,1.0,1.0,1,9.919399999999996,9.919399999999996,0.0,0.9964854035483516,13.879738618435514,1.329310638581713,0.47235344891760095,7.434659042221406e-14,0.018147050818965317,0.9818529491782305,0,1
95,523.844199,524.7478990000001,523.8452990000001,0.2,0.25,,-1.0,-1.0,524.5169291940331,-0.25,1.0,1.0,0,0.0,1.0,-1,0.9026000000000067,0.9026000000000067,0.25,-0.04450467081586972,9.307153411386754,5.241958399862051,0.765094835907668,0.12601912878606641,0.8739808712111583,6.720838542565257e-60,2,1
96,528.560699,528.997599,528.552499,0.2,,0.25,1.0,-1.0,528.7639291940332,0.25,1.0,1.0,0,1.0,1.0,1,0.4451000000000249,0.4451000000000249,0.25,-0.35154240571745315,11.882107314945854,6.6090035395075875,0.8715020795073632,0.9147066450755784,0.08529335492173479,1.5356025458289685e-108,1,1
97,533.059699,533.476799,533.056099,0.2,,0.125,1.0,-1.0,533.2639291940332,0.125,1.0,1.0,0,1.0,1.0,1,0.42070000000001073,0.42070000000001073,0.125,-0.37602748798299257,13.617540585108715,7.279402446746826,0.6545818177096687,0.9360127590637433,0.06398724093343536,3.7694779384568384e-171,1,0
98,538.542499,539.585799,538.518299,0.2,,0.0,1.0,-1.0,539.1129291940331,0.0,1.0,0.75,0,1.0,1.0,1,1.0674999999999955,1.0674999999999955,0.0,0.028367883697059625,13.881156407821182,7.389439674218496,1.1309931201917762,0.9987027797784223,0.0012972202186088545,9.478014019552008e-121,1,0
99,543.676199,544.2325989999999,543.673899,0.2,,0.0625,1.0,-1.0,543.8409291940332,0.0625,1.0,1.0,0,1.0,1.0,1,0.5586999999999307,0.5586999999999307,0.0625,-0.25282132863988943,11.458805805986485,6.7394309143225355,0.5325827391526404,0.9834889749513109,0.01651102504599344,8.991526779606632e-154,1,0
100,551.258999,551.643999,551.237799,0.2,,1.0,1.0,-1.0,551.3729291940332,1.0,1.0,1.0,0,1.0,1.0,1,0.40620000000001255,0.40620000000001255,1.0,-0.39126008093119863,13.215139213872835,6.361817778646946,0.8802395215316456,0.976388947855525,0.023611052141598393,1.153869556987099e-99,1,0
101,559.475099,561.063699,559.464999,0.2,,0.0625,1.0,-1.0,560.3759291940331,0.0625,1.0,1.0,0,1.0,1.0,1,1.598700000000008,1.598700000000008,0.0625,0.2037669749605764,12.283123588624543,6.517075003170576,0.8305968422369432,0.7559089690628847,0.24409103093435316,1.5830036070861616e-107,1,0
102,564.2745990000001,565.248499,564.257199,0.2,0.0625,,-1.0,-1.0,565.0979291940332,-0.0625,1.0,1.0,0,0.0,1.0,-1,0.9913000000000238,0.9913000000000238,0.0625,-0.0037948938216650807,14.129276525012905,7.14582050726062,1.1626051145275669,0.9989747127215928,0.0010252872756372185,1.1324793476327723e-106,1,0
