,dg_spike_freq,time,subject,date,probe,pid
9,8.654700998612169e-36,1.375,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
10,1.0194812742513023e-50,1.625,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
11,2.318280198828017e-68,1.875,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
12,2.0353639693440817e-88,2.125,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
13,2.318280198828017e-68,2.375,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
14,1.0194812742513023e-50,2.625,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
15,8.654700998612169e-36,2.875,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
16,1.418353132108969e-23,3.125,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
17,4.487207611577225e-14,3.375,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
18,2.7404850890754094e-07,3.625,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
19,0.003231009323775676,3.875,ZFM-03330,2022-02-17,probe00,7a82c06b-0e33-454b-a98f-786a4024c1d0
0,0.003231009323775676,-0.875,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
1,0.0735374332553411,-0.625,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
2,0.003231009323775676,-0.375,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
3,2.7404850890754094e-07,-0.125,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
4,4.487207612995578e-14,0.125,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
5,4.487207612995578e-14,0.375,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
6,2.7404850890754094e-07,0.625,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
7,0.003231009323775676,0.875,ZFM-03332,2022-02-17,probe00,1ab522ae-be8e-49d6-bec3-a2429c2692e0
