,psd_max,psd_mean,region,subject,date
99,374.1480534274144,149.83986940804192,Hippocampus,ZFM-03330,2022-02-16
100,1650.2291976765825,673.2569645024512,Midbrain,ZFM-03330,2022-02-16
101,6757.946004135596,2070.9317359365373,Cortex,ZFM-03330,2022-02-16
102,8666.230593111233,3798.756764103061,Cortex,ZFM-03332,2022-02-16
103,20596.439267644608,6141.499660238269,Cortex,ZFM-03330,2022-02-15
104,13512.110438981257,7160.898072530063,Cortex,ZFM-03332,2022-02-15
105,4274.485554659149,1815.4427828191237,Midbrain,ZFM-02601,2021-11-19
106,512.8838029443806,224.79773315887616,Cortex,ZFM-02601,2021-11-18
107,188.39776400777689,111.67495404387641,Hippocampus,ZFM-02601,2021-11-18
108,25039.626062922223,10672.793083767168,Thalamus,ZFM-02601,2021-11-18
109,691.9088419204618,333.5482693806458,Amygdala,ZFM-02601,2021-11-16
110,10388.442922870026,3882.720304829082,Thalamus,ZFM-02601,2021-11-16
111,8984.08329035299,3612.002256305282,Cortex,ZFM-02601,2021-11-16
112,3633.8615597142407,1537.420263938096,Cortex,ZFM-02600,2021-08-28
113,1774.2753130439648,719.0584283447955,Striatum,ZFM-02600,2021-08-28
114,21742.07734383129,6171.409310992762,Cortex,ZFM-02600,2021-08-28
115,11485.904364949947,5826.191192151383,Midbrain,ZFM-02600,2021-08-27
116,1775.034628152863,805.7519041278621,Cortex,ZFM-02600,2021-08-27
117,29954.995800197612,12740.789024406646,Thalamus,ZFM-02600,2021-08-27
118,4355.09997360668,1969.2683773141166,Midbrain,ZFM-02600,2021-08-26
119,48961.11693152101,15448.987185361711,Cortex,ZFM-02600,2021-08-26
120,546.0425147742461,222.87021547199106,Amygdala,ZFM-02600,2021-08-25
121,19212.38354193209,7123.539217384944,Cortex,ZFM-02600,2021-08-25
122,1639.1324661084595,638.4860451446299,Cortex,ZFM-02181,2021-07-16
123,8700.298039651152,5641.346077949625,Midbrain,ZFM-02181,2021-07-15
124,3897.3778868412483,1638.8316557713727,Cortex,ZFM-02181,2021-07-15
125,1132.1270011981196,719.9516059658196,Hippocampus,ZFM-02181,2021-07-15
126,2412.466344275328,1360.5234485566086,Thalamus,ZFM-02181,2021-07-15
127,16108.29985707562,7992.394820567354,Cortex,ZFM-02181,2021-07-14
128,1921.7968075514136,646.225021023753,Amygdala,ZFM-02181,2021-07-14
129,3707.316635410251,1884.7530043570284,Thalamus,ZFM-02181,2021-07-14
