,log_likelihood,n_states,subject,pid
3,-6500.63960706269,5,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
4,-6473.169827035472,6,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
5,-6423.7781969771195,7,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
6,-6389.666524441216,8,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
7,-6373.645177335762,9,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
8,-6377.128898502586,10,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
9,-6363.664945948047,11,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
10,-6334.469450199686,12,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
11,-6321.375207103998,13,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
12,-6345.412121145556,14,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
13,-6371.19486178429,15,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
14,-6318.534831552771,16,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
15,-6320.340842803533,17,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
16,-6328.673137159673,18,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
17,-6332.224971883873,19,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
18,-6317.26252427617,20,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
0,-17007.317008106136,2,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
1,-16304.038138477117,3,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
2,-16017.073842761552,4,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
3,-15945.272835671214,5,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
4,-15904.25172814501,6,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
5,-15789.928068612877,7,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
6,-15815.800663698463,8,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
7,-15702.840489276352,9,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
8,-15786.092287193238,10,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
9,-15632.639707087594,11,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
10,-15600.059910733316,12,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
11,-15626.484233949428,13,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
12,-15552.874503655772,14,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
13,-15609.412928901138,15,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
14,-15608.28831574725,16,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
15,-15545.538579750475,17,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
16,-15558.798385300224,18,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
17,-15536.48475092115,19,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
18,-15514.646846589776,20,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
0,-6071.079221260197,2,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
1,-6044.459765086199,3,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
2,-5988.340525582887,4,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
3,-5963.44770043802,5,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
4,-5950.522558402994,6,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
5,-5930.106805609388,7,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
6,-5923.04929246637,8,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
7,-5922.812410626631,9,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
8,-5912.06815174861,10,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
9,-5895.842324703283,11,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
10,-5894.00103189587,12,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
11,-5877.19203329857,13,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
12,-5890.85247680497,14,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
13,-5889.596546380969,15,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
14,-5888.388502673838,16,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
15,-5898.472476514759,17,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
16,-5892.458614042796,18,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
17,-5894.271860069631,19,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
18,-5885.509437070172,20,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
0,-32740.280228717293,2,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
1,-30723.156843455494,3,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
2,-30038.506917247665,4,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
