,log_likelihood,n_states,region,subject,pid
11,-14533.58335284031,13,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
12,-14493.2909851648,14,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
13,-14498.269397330761,15,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
14,-14417.882710073796,16,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
15,-14423.307380872597,17,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
16,-14463.208053040667,18,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
17,-14434.418539080601,19,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
18,-14340.292856801676,20,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
0,-90136.93111659042,2,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
1,-87047.52295470625,3,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
2,-85405.28084415766,4,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
3,-84633.95780315371,5,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
4,-83671.98245359836,6,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
5,-83040.47021167059,7,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
6,-82571.30068798778,8,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
7,-82446.0375550934,9,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
8,-81798.54477330094,10,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
9,-81608.31253034074,11,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
10,-81254.42040124958,12,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
11,-80840.7417164139,13,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
12,-80607.67722794085,14,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
13,-80445.18180288718,15,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
14,-80441.57847206676,16,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
15,-80361.2541290392,17,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
16,-80082.09075471014,18,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
17,-79937.82142138656,19,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
18,-79880.11650447753,20,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
0,-9775.498931711056,2,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
1,-9247.14503825868,3,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
2,-8908.848140382914,4,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
3,-8690.066766814893,5,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
4,-8647.922981782722,6,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
5,-8517.022283088338,7,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
