state,r,p,subject,date,region,file_name
0,0.09039232145046355,0.004907849206484911,ZFM-02601,2021-11-18,HPC,ZFM-02601_2021-11-18_HPC.pickle
1,0.02609266979907074,0.41766295239904094,ZFM-02601,2021-11-18,HPC,ZFM-02601_2021-11-18_HPC.pickle
2,-0.0185276659672015,0.5649856153106064,ZFM-02601,2021-11-18,HPC,ZFM-02601_2021-11-18_HPC.pickle
3,0.0680405452643774,0.03438339033773777,ZFM-02601,2021-11-18,HPC,ZFM-02601_2021-11-18_HPC.pickle
4,-0.0076317978818068325,0.8126415556610735,ZFM-02601,2021-11-18,HPC,ZFM-02601_2021-11-18_HPC.pickle
5,-0.08424169496274553,0.008769696369112057,ZFM-02601,2021-11-18,HPC,ZFM-02601_2021-11-18_HPC.pickle
6,-0.038993867898527566,0.2257153205589196,ZFM-02601,2021-11-18,HPC,ZFM-02601_2021-11-18_HPC.pickle
0,0.03911813210643247,0.22423886885644206,ZFM-02601,2021-11-18,Thal.,ZFM-02601_2021-11-18_Thal..pickle
1,-0.057498802292477,0.07390764876516305,ZFM-02601,2021-11-18,Thal.,ZFM-02601_2021-11-18_Thal..pickle
2,0.015249592273838652,0.6357673349156552,ZFM-02601,2021-11-18,Thal.,ZFM-02601_2021-11-18_Thal..pickle
3,0.04987789131625339,0.1211432761812983,ZFM-02601,2021-11-18,Thal.,ZFM-02601_2021-11-18_Thal..pickle
4,-0.05244513937718783,0.10312705336559565,ZFM-02601,2021-11-18,Thal.,ZFM-02601_2021-11-18_Thal..pickle
5,0.001381182042178888,0.9657855806774723,ZFM-02601,2021-11-18,Thal.,ZFM-02601_2021-11-18_Thal..pickle
6,-0.04873654882529668,0.12990366312794052,ZFM-02601,2021-11-18,Thal.,ZFM-02601_2021-11-18_Thal..pickle
0,-0.10316704103453112,0.0013155181541321156,ZFM-02601,2021-11-18,VIS,ZFM-02601_2021-11-18_VIS.pickle
1,0.12042866957450897,0.00017420816556479446,ZFM-02601,2021-11-18,VIS,ZFM-02601_2021-11-18_VIS.pickle
2,-0.0914229936420433,0.004437942464361262,ZFM-02601,2021-11-18,VIS,ZFM-02601_2021-11-18_VIS.pickle
3,0.2138398523396595,1.830213050641782e-11,ZFM-02601,2021-11-18,VIS,ZFM-02601_2021-11-18_VIS.pickle
4,-0.053958282064235245,0.09354797913847603,ZFM-02601,2021-11-18,VIS,ZFM-02601_2021-11-18_VIS.pickle
5,-0.02276117676991198,0.47958397032219924,ZFM-02601,2021-11-18,VIS,ZFM-02601_2021-11-18_VIS.pickle
6,-0.12531977281690895,9.32965838334602e-05,ZFM-02601,2021-11-18,VIS,ZFM-02601_2021-11-18_VIS.pickle
0,-0.045530036616988366,0.1543784163913633,ZFM-02601,2021-11-19,PAG,ZFM-02601_2021-11-19_PAG.pickle
1,0.037563668369277,0.24005766394618058,ZFM-02601,2021-11-19,PAG,ZFM-02601_2021-11-19_PAG.pickle
2,0.011371853300890957,0.7221757422949326,ZFM-02601,2021-11-19,PAG,ZFM-02601_2021-11-19_PAG.pickle
3,-0.3741628887136311,6.326845370280001e-34,ZFM-02601,2021-11-19,PAG,ZFM-02601_2021-11-19_PAG.pickle
4,0.00385269114814567,0.9041228596464932,ZFM-02601,2021-11-19,PAG,ZFM-02601_2021-11-19_PAG.pickle
5,0.5100795894433678,5.012758168041953e-66,ZFM-02601,2021-11-19,PAG,ZFM-02601_2021-11-19_PAG.pickle
6,-0.05424030677059161,0.0896829569355382,ZFM-02601,2021-11-19,PAG,ZFM-02601_2021-11-19_PAG.pickle
0,-0.14107612403277278,4.481976850165161e-05,ZFM-03321,2022-03-22,Pir.,ZFM-03321_2022-03-22_Pir..pickle
1,-0.11429260359838478,0.0009648426655889133,ZFM-03321,2022-03-22,Pir.,ZFM-03321_2022-03-22_Pir..pickle
2,-0.13230296782785747,0.00013077617816536653,ZFM-03321,2022-03-22,Pir.,ZFM-03321_2022-03-22_Pir..pickle
3,0.04930624177783286,0.15558474031091715,ZFM-03321,2022-03-22,Pir.,ZFM-03321_2022-03-22_Pir..pickle
4,0.11101171414551836,0.0013495120035123332,ZFM-03321,2022-03-22,Pir.,ZFM-03321_2022-03-22_Pir..pickle
5,-0.1229032210523154,0.00038365719258554346,ZFM-03321,2022-03-22,Pir.,ZFM-03321_2022-03-22_Pir..pickle
6,0.12928711623720224,0.00018618927745869552,ZFM-03321,2022-03-22,Pir.,ZFM-03321_2022-03-22_Pir..pickle
0,-0.004488158820151247,0.8972101798898254,ZFM-03321,2022-03-22,Str.,ZFM-03321_2022-03-22_Str..pickle
1,-0.18026239950659048,1.6811434506595552e-07,ZFM-03321,2022-03-22,Str.,ZFM-03321_2022-03-22_Str..pickle
2,-0.01968831618157889,0.5708792215439812,ZFM-03321,2022-03-22,Str.,ZFM-03321_2022-03-22_Str..pickle
3,-0.07476926236615437,0.031149964674056976,ZFM-03321,2022-03-22,Str.,ZFM-03321_2022-03-22_Str..pickle
4,0.11971562027843671,0.0005435950577831966,ZFM-03321,2022-03-22,Str.,ZFM-03321_2022-03-22_Str..pickle
5,-0.04487690340371607,0.1962278294857647,ZFM-03321,2022-03-22,Str.,ZFM-03321_2022-03-22_Str..pickle
6,0.0798991445492354,0.02125214315078283,ZFM-03321,2022-03-22,Str.,ZFM-03321_2022-03-22_Str..pickle
0,-0.06194556848018769,0.050192269177908394,ZFM-03321,2022-03-23,Amyg.,ZFM-03321_2022-03-23_Amyg..pickle
1,-0.04385172570763449,0.16585517562602092,ZFM-03321,2022-03-23,Amyg.,ZFM-03321_2022-03-23_Amyg..pickle
2,0.039658385416280605,0.21019381348725139,ZFM-03321,2022-03-23,Amyg.,ZFM-03321_2022-03-23_Amyg..pickle
3,0.2800736851493802,1.7661148371414816e-19,ZFM-03321,2022-03-23,Amyg.,ZFM-03321_2022-03-23_Amyg..pickle
4,-0.09766379722443237,0.001988585089913187,ZFM-03321,2022-03-23,Amyg.,ZFM-03321_2022-03-23_Amyg..pickle
5,-0.07487822243367047,0.017873855527034868,ZFM-03321,2022-03-23,Amyg.,ZFM-03321_2022-03-23_Amyg..pickle
