,log_likelihood,n_states,subject,pid,region
7,-1673.9284883298844,9,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
8,-1681.1906430982958,10,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
9,-1673.39939373731,11,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
10,-1671.6286091619804,12,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Amygdala
0,-5142.398897839312,2,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
1,-5103.729507529663,3,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
2,-5067.19204189781,4,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
3,-5043.127258047211,5,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
4,-5031.289308071566,6,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
5,-5019.736863742678,7,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
6,-5014.45384167549,8,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
7,-5024.30484163701,9,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
8,-5016.26524067062,10,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
9,-5005.024550508767,11,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
10,-5003.375482254523,12,ZFM-04300,ea75c815-b3d8-4612-89e7-4b25cfec110d,Hippocampus
0,-15195.321350272943,2,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
1,-15133.285085153257,3,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
2,-15001.986396300243,4,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
3,-14952.361865715235,5,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
4,-14980.858624644188,6,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
5,-14832.993405278745,7,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
6,-14818.210075597663,8,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
7,-14855.99279183421,9,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
8,-14810.881627221868,10,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
9,-14887.383589079589,11,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
10,-14852.037112947972,12,ZFM-04300,3c2e0334-d7d7-4843-a43b-bd71758c7d33,Midbrain
0,-2582.0444752784824,2,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
1,-2517.6052442274595,3,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
2,-2457.287820170142,4,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
3,-2438.4431675564765,5,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
4,-2417.0276957130995,6,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
5,-2411.47157928931,7,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
6,-2388.959173447214,8,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
7,-2396.7055993348886,9,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
8,-2377.6963968521204,10,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
9,-2384.710314009629,11,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
10,-2388.662632769332,12,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Hippocampus
0,-1090.9091580890329,2,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
1,-1053.3447341251294,3,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
2,-1034.090979414101,4,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
3,-1009.020363359863,5,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
4,-904.643308244937,6,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
5,-906.5751980797444,7,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
6,-923.1756714395699,8,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
7,-925.9713675124066,9,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
8,-920.696844800029,10,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
9,-908.1326068863466,11,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
10,-901.5735769906805,12,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Sensory cortex
0,-30615.397174284637,2,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
1,-30455.070762497202,3,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
2,-30442.3127755756,4,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
3,-30338.31298741822,5,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
4,-30319.78714258589,6,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
5,-30211.81792992785,7,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
6,-30206.486881528144,8,ZFM-04300,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,Thalamus
