,time,r_mean,r_permut,region1,region2,region_pair,subject,date,probe
33,2.5499999999999994,0.001316495340458341,0.16399385078549691,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
34,2.6499999999999995,0.008737153455789713,0.1772383276828926,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
35,2.749999999999999,0.009798942700275159,0.24931018499019295,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
36,2.849999999999999,0.0034642829553453696,0.25840361152381675,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
37,2.9499999999999993,0.0025401438617909926,0.25160399276752615,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
38,3.049999999999999,-0.0019202002896176777,0.2445064859592762,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
39,3.149999999999999,-0.002078547415478179,0.23947380820628764,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
40,3.249999999999999,-0.002814571802775991,0.20087261502830436,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
41,3.3499999999999988,-0.004259822699848979,0.21788368000926134,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
42,3.4499999999999993,-0.00406422373229437,0.23918702524523794,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
43,3.549999999999999,-0.005560418380991785,0.28026116821684866,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
44,3.6499999999999986,-0.00923375916860989,0.2879727376104498,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
45,3.749999999999999,0.003906903909268119,0.37422986548184,Amygdala,Thalamus,Amygdala-Thalamus,ZFM-02181,2021-07-14,probe00
0,-0.75,0.0038660348790430254,0.32182548367431146,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
1,-0.65,0.004388535798006315,0.38731653933997584,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
2,-0.55,0.004582850698499441,0.39817940474960684,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
3,-0.45000000000000007,0.005473733292558926,0.37785170581438954,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
4,-0.3500000000000001,0.0037843947158852456,0.29081481171316914,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
5,-0.2500000000000001,0.0008585209117542442,0.288017990811353,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
6,-0.15000000000000013,-0.001237922810849788,0.2879403495001593,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
7,-0.050000000000000155,-0.0002074124220092672,0.296623736297446,Frontal cortex,Amygdala,Amygdala-Frontal cortex,ZFM-02181,2021-07-14,probe00
